clip_id,path,label,speaker,session,ai_speaking_offset_sec,overlap_sec,preceding_silence_sec,notes
syn_continue_0186,synthetic/syn_continue_0186.wav,continue,synthetic,synthetic-v1,0.000,0.406,0.490,auto-generated; not a substitute for real recordings
syn_continue_0187,synthetic/syn_continue_0187.wav,continue,synthetic,synthetic-v1,0.000,0.446,0.478,auto-generated; not a substitute for real recordings
syn_continue_0188,synthetic/syn_continue_0188.wav,continue,synthetic,synthetic-v1,0.000,0.343,0.259,auto-generated; not a substitute for real recordings
syn_continue_0189,synthetic/syn_continue_0189.wav,continue,synthetic,synthetic-v1,0.000,0.203,0.446,auto-generated; not a substitute for real recordings
syn_continue_0190,synthetic/syn_continue_0190.wav,continue,synthetic,synthetic-v1,0.000,0.254,0.087,auto-generated; not a substitute for real recordings
syn_continue_0191,synthetic/syn_continue_0191.wav,continue,synthetic,synthetic-v1,0.000,0.184,0.274,auto-generated; not a substitute for real recordings
syn_continue_0192,synthetic/syn_continue_0192.wav,continue,synthetic,synthetic-v1,0.000,0.453,0.045,auto-generated; not a substitute for real recordings
syn_continue_0193,synthetic/syn_continue_0193.wav,continue,synthetic,synthetic-v1,0.000,0.270,0.355,auto-generated; not a substitute for real recordings
syn_continue_0194,synthetic/syn_continue_0194.wav,continue,synthetic,synthetic-v1,0.000,0.328,0.446,auto-generated; not a substitute for real recordings
syn_continue_0195,synthetic/syn_continue_0195.wav,continue,synthetic,synthetic-v1,0.000,0.252,0.040,auto-generated; not a substitute for real recordings
syn_continue_0196,synthetic/syn_continue_0196.wav,continue,synthetic,synthetic-v1,0.000,0.241,0.264,auto-generated; not a substitute for real recordings
syn_continue_0197,synthetic/syn_continue_0197.wav,continue,synthetic,synthetic-v1,0.000,0.266,0.114,auto-generated; not a substitute for real recordings
syn_continue_0198,synthetic/syn_continue_0198.wav,continue,synthetic,synthetic-v1,0.000,0.255,0.068,auto-generated; not a substitute for real recordings
syn_continue_0199,synthetic/syn_continue_0199.wav,continue,synthetic,synthetic-v1,0.000,0.150,0.395,auto-generated; not a substitute for real recordings
syn_continue_0200,synthetic/syn_continue_0200.wav,continue,synthetic,synthetic-v1,0.000,0.216,0.493,auto-generated; not a substitute for real recordings
